frame,original_frame,timestamp,filepath
1,0,0.0,c:\Users\Gates\Desktop\HSC\src\img\frames\000001.jpg
2,1,0.03333333333333333,c:\Users\Gates\Desktop\HSC\src\img\frames\000002.jpg
3,2,0.06666666666666667,c:\Users\Gates\Desktop\HSC\src\img\frames\000003.jpg
4,3,0.1,c:\Users\Gates\Desktop\HSC\src\img\frames\000004.jpg
5,4,0.13333333333333333,c:\Users\Gates\Desktop\HSC\src\img\frames\000005.jpg
6,5,0.16666666666666666,c:\Users\Gates\Desktop\HSC\src\img\frames\000006.jpg
7,6,0.2,c:\Users\Gates\Desktop\HSC\src\img\frames\000007.jpg
8,7,0.23333333333333334,c:\Users\Gates\Desktop\HSC\src\img\frames\000008.jpg
9,8,0.26666666666666666,c:\Users\Gates\Desktop\HSC\src\img\frames\000009.jpg
10,9,0.3,c:\Users\Gates\Desktop\HSC\src\img\frames\000010.jpg
11,10,0.3333333333333333,c:\Users\Gates\Desktop\HSC\src\img\frames\000011.jpg
12,11,0.36666666666666664,c:\Users\Gates\Desktop\HSC\src\img\frames\000012.jpg
13,12,0.4,c:\Users\Gates\Desktop\HSC\src\img\frames\000013.jpg
14,13,0.43333333333333335,c:\Users\Gates\Desktop\HSC\src\img\frames\000014.jpg
15,14,0.4666666666666667,c:\Users\Gates\Desktop\HSC\src\img\frames\000015.jpg
16,15,0.5,c:\Users\Gates\Desktop\HSC\src\img\frames\000016.jpg
17,16,0.5333333333333333,c:\Users\Gates\Desktop\HSC\src\img\frames\000017.jpg
18,17,0.5666666666666667,c:\Users\Gates\Desktop\HSC\src\img\frames\000018.jpg
19,18,0.6,c:\Users\Gates\Desktop\HSC\src\img\frames\000019.jpg
20,19,0.6333333333333333,c:\Users\Gates\Desktop\HSC\src\img\frames\000020.jpg
21,20,0.6666666666666666,c:\Users\Gates\Desktop\HSC\src\img\frames\000021.jpg
22,21,0.7,c:\Users\Gates\Desktop\HSC\src\img\frames\000022.jpg
23,22,0.7333333333333333,c:\Users\Gates\Desktop\HSC\src\img\frames\000023.jpg
24,23,0.7666666666666667,c:\Users\Gates\Desktop\HSC\src\img\frames\000024.jpg
25,24,0.8,c:\Users\Gates\Desktop\HSC\src\img\frames\000025.jpg
26,25,0.8333333333333334,c:\Users\Gates\Desktop\HSC\src\img\frames\000026.jpg
27,26,0.8666666666666667,c:\Users\Gates\Desktop\HSC\src\img\frames\000027.jpg
28,27,0.9,c:\Users\Gates\Desktop\HSC\src\img\frames\000028.jpg
29,28,0.9333333333333333,c:\Users\Gates\Desktop\HSC\src\img\frames\000029.jpg
30,29,0.9666666666666667,c:\Users\Gates\Desktop\HSC\src\img\frames\000030.jpg
31,30,1.0,c:\Users\Gates\Desktop\HSC\src\img\frames\000031.jpg
32,31,1.0333333333333334,c:\Users\Gates\Desktop\HSC\src\img\frames\000032.jpg
33,32,1.0666666666666667,c:\Users\Gates\Desktop\HSC\src\img\frames\000033.jpg
34,33,1.1,c:\Users\Gates\Desktop\HSC\src\img\frames\000034.jpg
35,34,1.1333333333333333,c:\Users\Gates\Desktop\HSC\src\img\frames\000035.jpg
36,35,1.1666666666666667,c:\Users\Gates\Desktop\HSC\src\img\frames\000036.jpg
