frame,t,u,v,score,is_interpolated,is_smoothed
1,0.0000,460.5714,654.3429,1.0000,0,1
2,0.0330,511.9143,630.8286,1.0000,0,1
3,0.0670,559.8286,610.4571,1.0000,0,1
4,0.1000,600.9143,595.9429,1.0000,0,1
5,0.1330,651.0571,575.6286,1.0000,0,1
6,0.1670,697.0286,556.4571,1.0000,0,1
7,0.2000,741.2857,540.9714,1.0000,0,1
8,0.2330,785.0286,527.3714,1.0000,0,1
9,0.2670,832.8571,513.0286,1.0000,0,1
10,0.3000,868.4571,502.3714,1.0000,0,1
11,0.3330,911.9714,491.5143,1.0000,0,1
12,0.3670,949.4000,482.1143,1.0000,0,1
13,0.4000,983.2571,474.1143,1.0000,0,1
14,0.4330,1022.1714,466.1143,1.0000,0,1
15,0.4670,1060.7429,459.2571,1.0000,0,1
16,0.5000,1092.0000,455.5714,1.0000,0,1
17,0.5330,1126.0857,450.2286,1.0000,0,1
18,0.5670,1157.4673,445.5523,1.0000,0,1
19,0.6000,1182.5880,443.1908,1.0000,0,1
20,0.6333,1214.4472,441.6037,0.0000,1,1
21,0.6670,1247.7308,438.3051,1.0000,0,1
22,0.7000,1273.6387,436.1809,1.0000,0,1
23,0.7330,1301.7429,435.8286,1.0000,0,1
24,0.7670,1331.8000,435.8286,1.0000,0,1
25,0.8000,1357.5429,436.0857,1.0000,0,1
26,0.8330,1383.4571,438.6857,1.0000,0,1
27,0.8670,1408.7714,441.7143,1.0000,0,1
28,0.9000,1431.7714,445.0286,1.0000,0,1
29,0.9330,1457.5429,448.9143,1.0000,0,1
30,0.9670,1480.5143,452.9714,1.0000,0,1
31,1.0000,1499.7714,457.6286,1.0000,0,1
32,1.0330,1521.7143,462.5429,1.0000,0,1
33,1.0670,1543.4571,469.0286,1.0000,0,1
34,1.1000,1560.4000,474.7429,1.0000,0,1
35,1.1330,1574.4000,478.7714,1.0000,0,1
36,1.1670,1585.4000,481.6571,1.0000,0,1
